Timestamp,Version,Industry,Dataset,Total_Score,Max_Score,Percentage,Behavioral,Prioritization,Governance,Readability,Realism
20260530_120801,v1,banking,Banking Customer Chrun Predicator Dataset,34,50,68.0,8,6,10,10,0
20260530_121650,v1,banking,Banking Customer Chrun Predicator Dataset,38,50,76.0,10,10,5,10,3
20260530_122432,v1,banking,Banking Customer Chrun Predicator Dataset,43,50,86.0,10,10,3,10,10
20260530_123002,v1,banking,Banking Customer Chrun Predicator Dataset,41,50,82.0,10,6,5,10,10
20260530_124228,v1,banking,Banking Customer Chrun Predicator Dataset,45,50,90.0,10,10,5,10,10
20260530_124545,v1,banking,Banking Customer Chrun Predicator Dataset,48,50,96.0,8,10,10,10,10
20260530_125117,v1,banking,Banking Customer Chrun Predicator Dataset,10,50,20.0,0,0,10,0,0
20260531_062200,v1,banking,Banking Customer Chrun Predicator Dataset,50,50,100.0,10,10,10,10,10
